message,label
Get IT job in Infosys without interview. Just send your PAN and Aadhar now.,fake
Govt job available. Pay Rs. 999 registration to secure your spot. Limited seats.,fake
"Work from home and earn ₹25,000/week. Only basic typing skills required.",fake
"High paying job in Dubai, no passport needed. Apply now on WhatsApp.",fake
Join SBI as a clerk. Application fee Rs. 499 only. Apply via this link.,fake
TCS is hiring software developers. Apply via official careers portal.,real
Amazon is hiring warehouse associates across India. Visit amazon.jobs to apply officially.,real
Infosys is hiring for software engineer role. Apply on https://careers.infosys.com,real
"Your HDFC home loan EMI of ₹12,000 is due on 5th June. Please ensure timely payment.",real
RBI registered NBFC offers loan with minimal documents. Apply via verified app.,real
We are hiring Data Engineers at Infosys. Apply via https://careers.infosys.com.,real
TCS is conducting walk-in interviews for freshers on 5th June. Carry your resume and Aadhaar card.,real
Amazon is hiring warehouse associates across India. Visit amazon.jobs to apply officially.,real
Apply for L&T internship via our university partnership program. No fee required.,real
Join the Wipro TalentNext program for freshers. Register on wipro.com/careers.,real
Your job at Deloitte is confirmed. Send ₹1500 to hr.deloitteglobal@gmail.com to receive offer letter.,fake
"Back Office job available. Earn ₹25,000 monthly. Pay ₹899 to verify your ID now.",fake
Apply now for TCS data entry role. Registration fee ₹499. Send via PhonePe to HR.,fake
"HDFC job opportunity: remote work, ₹45,000/month. Register today via WhatsApp link.",fake
You've been selected by Capgemini. Confirm by sending documents and ₹1000 to secure your job.,fake
We reviewed your Naukri profile. Call +91-9876xxxxxx to complete interview for Flipkart warehouse role.,fake
Join Swiggy as part-time rider. No joining fee. Apply at swiggycareers.com.,real
Your Paytm onboarding is almost done. Complete final verification via this Google Form.,fake
Congratulations! Your placement with Tech Mahindra is approved. Email confirmation will follow.,real
Wipro internship opening – limited seats. Apply via WhatsApp before 5 PM.,fake
