message,label
Capgemini is hiring for customer support. Apply via official career page. Process includes KYC required.,real
Urgent hiring for marketing intern at TCS. instant approval. Apply now via unauthorized portal.,fake
Urgent hiring for marketing intern at HCL. pay registration fee. Apply now via WhatsApp link.,fake
Apply for a personal loan of ₹5 lakhs via email from HR. Offer through banking channels.,real
Capgemini is hiring for marketing intern. Apply via email from HR. Process includes minimal interest.,real
"Get loan of ₹50,000 instantly. send documents on WhatsApp. Apply through Google Form.",fake
Urgent hiring for delivery agent at Zomato. instant approval. Apply now via Google Form.,fake
Urgent hiring for software engineer at Capgemini. urgent processing. Apply now via Google Form.,fake
Get loan of ₹2 lakhs instantly. pay registration fee. Apply through Google Form.,fake
Get loan of ₹10 lakhs instantly. instant approval. Apply through Google Form.,fake
Get loan of ₹10 lakhs instantly. limited time offer. Apply through WhatsApp link.,fake
Zomato is hiring for sales executive. Apply via Naukri listing. Process includes processed within 7 days.,real
Get loan of ₹5 lakhs instantly. send documents on WhatsApp. Apply through WhatsApp link.,fake
Get loan of ₹1 lakh instantly. pay registration fee. Apply through direct recruiter number.,fake
Apply for a personal loan of ₹10 lakhs via company website. Offer minimal interest.,real
Urgent hiring for software engineer at Zomato. instant approval. Apply now via direct recruiter number.,fake
Flipkart is hiring for sales executive. Apply via official career page. Process includes KYC required.,real
Urgent hiring for data analyst at Flipkart. send documents on WhatsApp. Apply now via unauthorized portal.,fake
Urgent hiring for delivery agent at TCS. send documents on WhatsApp. Apply now via WhatsApp link.,fake
Apply for a personal loan of ₹2 lakhs via Naukri listing. Offer minimal interest.,real
Urgent hiring for data analyst at Capgemini. pay registration fee. Apply now via Google Form.,fake
Axis Bank is hiring for software engineer. Apply via company website. Process includes RBI approved.,real
Capgemini is hiring for sales executive. Apply via LinkedIn job post. Process includes minimal interest.,real
Get loan of ₹1 lakh instantly. instant approval. Apply through WhatsApp link.,fake
Swiggy is hiring for marketing intern. Apply via Naukri listing. Process includes minimal interest.,real
Urgent hiring for software engineer at Tech Mahindra. instant approval. Apply now via direct recruiter number.,fake
Apply for a personal loan of ₹1 lakh via LinkedIn job post. Offer KYC required.,real
Urgent hiring for software engineer at HCL. limited time offer. Apply now via Telegram group.,fake
Get loan of ₹10 lakhs instantly. pay registration fee. Apply through Telegram group.,fake
Get loan of ₹5 lakhs instantly. limited time offer. Apply through unauthorized portal.,fake
Get loan of ₹5 lakhs instantly. urgent processing. Apply through unauthorized portal.,fake
ICICI is hiring for sales executive. Apply via company website. Process includes processed within 7 days.,real
Flipkart is hiring for marketing intern. Apply via official career page. Process includes RBI approved.,real
Flipkart is hiring for sales executive. Apply via email from HR. Process includes processed within 7 days.,real
Urgent hiring for customer support at Infosys. pay registration fee. Apply now via Google Form.,fake
Zomato is hiring for customer support. Apply via Naukri listing. Process includes minimal interest.,real
ICICI is hiring for delivery agent. Apply via company website. Process includes minimal interest.,real
Urgent hiring for sales executive at TCS. pay registration fee. Apply now via direct recruiter number.,fake
Swiggy is hiring for customer support. Apply via email from HR. Process includes through banking channels.,real
Apply for a personal loan of ₹2 lakhs via company website. Offer processed within 7 days.,real
Urgent hiring for data analyst at Tech Mahindra. instant approval. Apply now via Telegram group.,fake
Urgent hiring for customer support at Tech Mahindra. send documents on WhatsApp. Apply now via WhatsApp link.,fake
Urgent hiring for sales executive at Swiggy. urgent processing. Apply now via direct recruiter number.,fake
Urgent hiring for marketing intern at Capgemini. limited time offer. Apply now via Telegram group.,fake
Apply for a personal loan of ₹1 lakh via LinkedIn job post. Offer RBI approved.,real
Get loan of ₹10 lakhs instantly. instant approval. Apply through WhatsApp link.,fake
Infosys is hiring for marketing intern. Apply via LinkedIn job post. Process includes processed within 7 days.,real
Urgent hiring for marketing intern at Infosys. send documents on WhatsApp. Apply now via Google Form.,fake
Get loan of ₹5 lakhs instantly. limited time offer. Apply through unauthorized portal.,fake
Apply for a personal loan of ₹1 lakh via official career page. Offer RBI approved.,real
Apply for a personal loan of ₹10 lakhs via official career page. Offer RBI approved.,real
Infosys is hiring for sales executive. Apply via LinkedIn job post. Process includes through banking channels.,real
Swiggy is hiring for marketing intern. Apply via LinkedIn job post. Process includes processed within 7 days.,real
Urgent hiring for data analyst at Tech Mahindra. urgent processing. Apply now via direct recruiter number.,fake
Urgent hiring for sales executive at Tech Mahindra. urgent processing. Apply now via unauthorized portal.,fake
HCL is hiring for customer support. Apply via Naukri listing. Process includes RBI approved.,real
Urgent hiring for sales executive at Tech Mahindra. send documents on WhatsApp. Apply now via WhatsApp link.,fake
Zomato is hiring for customer support. Apply via email from HR. Process includes KYC required.,real
Get loan of ₹10 lakhs instantly. urgent processing. Apply through Telegram group.,fake
Infosys is hiring for data analyst. Apply via official career page. Process includes minimal interest.,real
Apply for a personal loan of ₹10 lakhs via Naukri listing. Offer RBI approved.,real
Zomato is hiring for customer support. Apply via LinkedIn job post. Process includes processed within 7 days.,real
Urgent hiring for marketing intern at Swiggy. pay registration fee. Apply now via WhatsApp link.,fake
Urgent hiring for data analyst at HCL. send documents on WhatsApp. Apply now via WhatsApp link.,fake
Capgemini is hiring for delivery agent. Apply via LinkedIn job post. Process includes KYC required.,real
Apply for a personal loan of ₹2 lakhs via official career page. Offer through banking channels.,real
Tech Mahindra is hiring for customer support. Apply via Naukri listing. Process includes minimal interest.,real
Zomato is hiring for sales executive. Apply via LinkedIn job post. Process includes RBI approved.,real
Urgent hiring for software engineer at ICICI. limited time offer. Apply now via WhatsApp link.,fake
Get loan of ₹10 lakhs instantly. limited time offer. Apply through Google Form.,fake
Infosys is hiring for software engineer. Apply via LinkedIn job post. Process includes processed within 7 days.,real
"Apply for a personal loan of ₹50,000 via Naukri listing. Offer through banking channels.",real
Urgent hiring for software engineer at ICICI. instant approval. Apply now via unauthorized portal.,fake
